Year-1;Month;Decimal Date;Carbon Dioxide (ppm);Seasonally Adjusted CO2 (ppm);Carbon Dioxide Fit (ppm);Seasonally Adjusted CO2 Fit (ppm);Year;Population
1960;1;1960,041;316,43;316,41;316,58;316,56;1960;605406966
1960;2;1960,1257;316,97;316,37;317,25;316,64;1960;605406966
1960;3;1960,2049;317,58;316,27;318,04;316,72;1960;605406966
1960;4;1960,2896;319,03;316,69;319,15;316,8;1960;605406966
1960;5;1960,3716;320,03;317,24;319,65;316,87;1960;605406966
1960;6;1960,4563;319,59;317,49;319,01;316,93;1960;605406966
1960;7;1960,5383;318,18;317,51;317,62;316,98;1960;605406966
1960;8;1960,623;315,9;317,18;315,71;317,01;1960;605406966
1960;9;1960,7077;314,17;317,05;314,14;317,04;1960;605406966
1960;10;1960,7896;313,83;316,82;314,1;317,07;1960;605406966
1960;11;1960,8743;315;316,88;315,24;317,1;1960;605406966
1960;12;1960,9563;316,19;316,97;316,38;317,14;1960;605406966
1965;1;1965,0411;319,44;319,42;319,71;319,68;1965;634783191
1965;2;1965,126;320,44;319,82;320,34;319,71;1965;634783191
1965;3;1965,2027;320,89;319,58;321,08;319,76;1965;634783191
1965;4;1965,2877;322,14;319,77;322,2;319,82;1965;634783191
1965;5;1965,3699;322,16;319,32;322,74;319,9;1965;634783191
1965;6;1965,4548;321,87;319,71;322,13;319,99;1965;634783191
1965;7;1965,537;321,21;320,5;320,77;320,09;1965;634783191
1965;8;1965,6219;318,87;320,14;318,9;320,2;1965;634783191
1965;9;1965,7068;317,82;320,75;317,37;320,32;1965;634783191
1965;10;1965,789;317,3;320,35;317,4;320,43;1965;634783191
1965;11;1965,874;318,87;320,79;318,65;320,55;1965;634783191
1965;12;1965,9562;319,42;320,21;319,88;320,66;1965;634783191
1970;1;1970,0411;325,06;325,04;325,27;325,24;1970;656919370
1970;2;1970,126;325,98;325,35;325,96;325,32;1970;656919370
1970;3;1970,2027;326,93;325,59;326,74;325,39;1970;656919370
1970;4;1970,2877;328,14;325,73;327,9;325,47;1970;656919370
1970;5;1970,3699;328,08;325,18;328,45;325,55;1970;656919370
1970;6;1970,4548;327,67;325,47;327,8;325,63;1970;656919370
1970;7;1970,537;326,34;325,62;326,39;325,7;1970;656919370
1970;8;1970,6219;324,69;325,98;324,44;325,77;1970;656919370
1970;9;1970,7068;323,1;326,08;322,83;325,83;1970;656919370
1970;10;1970,789;323,07;326,17;322,79;325,88;1970;656919370
1970;11;1970,874;324,01;325,96;323,99;325,93;1970;656919370
1970;12;1970,9562;325,13;325,94;325,17;325,97;1970;656919370
1975;1;1975,0411;330,4;330,38;330,68;330,65;1975;676895457
1975;2;1975,126;331,4;330,76;331,38;330,73;1975;676895457
1975;3;1975,2027;332,04;330,68;332,19;330,81;1975;676895457
1975;4;1975,2877;333,31;330,86;333,38;330,91;1975;676895457
1975;5;1975,3699;333,97;331,02;333,95;331;1975;676895457
1975;6;1975,4548;333,6;331,36;333,32;331,1;1975;676895457
1975;7;1975,537;331,9;331,17;331,9;331,2;1975;676895457
1975;8;1975,6219;330,06;331,38;329,94;331,29;1975;676895457
1975;9;1975,7068;328,56;331,6;328,33;331,39;1975;676895457
1975;10;1975,789;328,34;331,5;328,33;331,47;1975;676895457
1975;11;1975,874;329,49;331,48;329,59;331,56;1975;676895457
1975;12;1975,9562;330,76;331,59;330,83;331,64;1975;676895457
1980;1;1980,041;338,01;338;337,88;337,85;1980;693566516
1980;2;1980,1257;338,36;337,71;338,68;338,01;1980;693566516
1980;3;1980,2049;340,07;338,67;339,6;338,17;1980;693566516
1980;4;1980,2896;340,77;338,25;340,87;338,33;1980;693566516
1980;5;1980,3716;341,47;338,46;341,48;338,48;1980;693566516
1980;6;1980,4563;341,17;338,91;340,87;338,63;1980;693566516
1980;7;1980,5383;339,56;338,84;339,45;338,76;1980;693566516
1980;8;1980,623;337,6;338,97;337,49;338,9;1980;693566516
1980;9;1980,7077;335,88;338,99;335,9;339,02;1980;693566516
1980;10;1980,7896;336,02;339,23;335,93;339,13;1980;693566516
1980;11;1980,8743;337,1;339,12;337,24;339,24;1980;693566516
1980;12;1980,9563;338,21;339,05;338,52;339,34;1980;693566516
1985;1;1985,0411;344,97;344,95;345,28;345,25;1985;707584186
1985;2;1985,126;345,99;345,33;346,06;345,39;1985;707584186
1985;3;1985,2027;347,43;346,02;346,93;345,5;1985;707584186
1985;4;1985,2877;348,35;345,8;348,18;345,62;1985;707584186
1985;5;1985,3699;348,93;345,87;348,79;345,73;1985;707584186
1985;6;1985,4548;348,25;345,93;348,13;345,83;1985;707584186
1985;7;1985,537;346,56;345,8;346,65;345,92;1985;707584186
1985;8;1985,6219;344,68;346,04;344,61;346,01;1985;707584186
1985;9;1985,7068;343,09;346,24;342,93;346,1;1985;707584186
1985;10;1985,789;342,8;346,07;342,93;346,19;1985;707584186
1985;11;1985,874;344,24;346,3;344,24;346,28;1985;707584186
1985;12;1985,9562;345,56;346,41;345,53;346,37;1985;707584186
1990;1;1990,0411;353,66;353,64;353,61;353,57;1990;720858411
1990;2;1990,126;354,7;354,02;354,36;353,68;1990;720858411
1990;3;1990,2027;355,38;353,95;355,22;353,77;1990;720858411
1990;4;1990,2877;356,2;353,62;356,47;353,87;1990;720858411
1990;5;1990,3699;357,16;354,05;357,08;353,97;1990;720858411
1990;6;1990,4548;356,23;353,87;356,42;354,08;1990;720858411
1990;7;1990,537;354,81;354,04;354,95;354,2;1990;720858411
1990;8;1990,6219;352,91;354,3;352,91;354,34;1990;720858411
1990;9;1990,7068;350,96;354,17;351,26;354,48;1990;720858411
1990;10;1990,789;351,18;354,51;351,31;354,62;1990;720858411
1990;11;1990,874;352,83;354,93;352,7;354,78;1990;720858411
1990;12;1990,9562;354,21;355,08;354,07;354,92;1990;720858411
1995;1;1995,0411;359,97;359,95;360,02;359,99;1995;726994433
1995;2;1995,126;361;360,31;360,87;360,17;1995;726994433
1995;3;1995,2027;361,64;360,18;361,8;360,33;1995;726994433
1995;4;1995,2877;363,45;360,82;363,15;360,5;1995;726994433
1995;5;1995,3699;363,8;360,63;363,83;360,66;1995;726994433
1995;6;1995,4548;363,26;360,86;363,21;360,83;1995;726994433
1995;7;1995,537;361,9;361,11;361,74;360,98;1995;726994433
1995;8;1995,6219;359,45;360,87;359,69;361,14;1995;726994433
1995;9;1995,7068;358,05;361,31;358,03;361,31;1995;726994433
1995;10;1995,789;357,76;361,14;358,09;361,46;1995;726994433
1995;11;1995,874;359,56;361,7;359,51;361,63;1995;726994433
1995;12;1995,9562;360,7;361,58;360,91;361,78;1995;726994433
2000;1;2000,041;369,14;369,12;368,85;368,81;2000;725558028
2000;2;2000,1257;369,46;368,76;369,61;368,91;2000;725558028
2000;3;2000,2049;370,51;369;370,53;369;2000;725558028
2000;4;2000,2896;371,66;368,96;371,83;369,11;2000;725558028
2000;5;2000,3716;371,83;368,61;372,44;369,22;2000;725558028
2000;6;2000,4563;371,69;369,28;371,75;369,36;2000;725558028
2000;7;2000,5383;370,12;369,35;370,23;369,49;2000;725558028
2000;8;2000,623;368,12;369,59;368,13;369,64;2000;725558028
2000;9;2000,7077;366,62;369,95;366,45;369,79;2000;725558028
2000;10;2000,7896;366,73;370,17;366,51;369,93;2000;725558028
2000;11;2000,8743;368,29;370,46;367,93;370,08;2000;725558028
2000;12;2000,9563;369,53;370,42;369,33;370,2;2000;725558028
2005;1;2005,0411;378,34;378,31;378,48;378,44;2005;729287881
2005;2;2005,126;379,61;378,9;379,38;378,66;2005;729287881
2005;3;2005,2027;380,17;378,67;380,38;378,85;2005;729287881
2005;4;2005,2877;382,05;379,33;381,81;379,07;2005;729287881
2005;5;2005,3699;382,24;378,96;382,56;379,29;2005;729287881
2005;6;2005,4548;382,08;379,6;381,97;379,51;2005;729287881
2005;7;2005,537;380,67;379,85;380,5;379,72;2005;729287881
2005;8;2005,6219;378,67;380,13;378,43;379,94;2005;729287881
2005;9;2005,7068;376,42;379,79;376,76;380,15;2005;729287881
2005;10;2005,789;376,8;380,3;376,86;380,35;2005;729287881
2005;11;2005,874;378,31;380,51;378,36;380,55;2005;729287881
2005;12;2005,9562;379,96;380,87;379,84;380,73;2005;729287881
2010;1;2010,0411;388,55;388,53;388,8;388,76;2010;736412998
2010;2;2010,126;390,07;389,35;389,72;388,98;2010;736412998
2010;3;2010,2027;391,01;389,48;390,73;389,18;2010;736412998
2010;4;2010,2877;392,38;389,62;392,17;389,39;2010;736412998
2010;5;2010,3699;393,22;389,89;392,9;389,58;2010;736412998
2010;6;2010,4548;392,24;389,71;392,26;389,76;2010;736412998
2010;7;2010,537;390,33;389,51;390,73;389,94;2010;736412998
2010;8;2010,6219;388,52;390,01;388,58;390,11;2010;736412998
2010;9;2010,7068;386,84;390,26;386,83;390,28;2010;736412998
2010;10;2010,789;387,16;390,72;386,89;390,43;2010;736412998
2010;11;2010,874;388,67;390,91;388,36;390,58;2010;736412998
2010;12;2010,9562;389,81;390,74;389,8;390,71;2010;736412998
2015;1;2015,0411;399,85;399,83;399,73;399,7;2015;743058978
2015;2;2015,126;400,31;399,57;400,63;399,89;2015;743058978
2015;3;2015,2027;401,51;399,96;401,64;400,06;2015;743058978
2015;4;2015,2877;403,45;400,64;403,1;400,27;2015;743058978
2015;5;2015,3699;404,11;400,73;403,86;400,48;2015;743058978
2015;6;2015,4548;402,88;400,31;403,25;400,71;2015;743058978
2015;7;2015,537;401,6;400,76;401,76;400,96;2015;743058978
2015;8;2015,6219;399;400,51;399,68;401,23;2015;743058978
2015;9;2015,7068;397,5;400,98;398,03;401,53;2015;743058978
2015;10;2015,789;398,28;401,9;398,23;401,83;2015;743058978
2015;11;2015,874;400,24;402,52;399,9;402,16;2015;743058978
2015;12;2015,9562;401,89;402,83;401,54;402,47;2015;743058978
